id,transliteration,translation
972,šu-ma a-ha-tí-kà kà-ni-kám lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If your sister does not send the sealed document to me, I will write to Wahshushana."
973,iš-tù É.GAL-lim a-na kà-ri-im a-li-ik-ma lu-qú-tám ba-qí-ir,Go from the palace to the colony and claim the merchandise.
974,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that Ashur-nada, he will embezzle the tin."
975,iš-tù ha-hi-im a-na É.GAL-lim a-li-ik-ma <gap> ba-qí-ir,Go from Hahhum to the palace and claim <gap>.
976,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na a-hu-a qí-bi-ma,Thus says the Burushhattum colony: Speak to my brother:
977,šu-ma ru-ba-im kà-ni-kám lá u-šé-bi-lam a-na <gap> a-ša-par,"If the king does not send the sealed document to me, I will write to <gap>."
978,iš-tù wa-ah-šu-ša-na a-na É.GAL-lim a-li-ik-ma ŠE ba-qí-ir,Go from Wahshushana to the palace and claim the grain.
979,šu-ma ru-ba-im ŠE lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If the king does not send the grain to me, I will write to Hahhum."
980,1/3 ma-na ŠE i-na wa-ah-šu-ša-na a-na Pú-zur4-A-šur áš-qúl,I paid one-third of a mina of grain to Puzur-Ashur in Wahshushana.
981,ki-ma DAM.GÀR me-tù-ni a-ha-tí-kà KÙ.BABBAR i-ki-mu-ni,"When the merchant died, your sister deprived me of the silver."
982,šu-ma ma-ṣa-ru kà-ni-kám lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If the guards does not send the sealed document to me, I will write to Hahhum."
983,um-ma <gap>-ma a-na da-a-a-nu-um qí-bi-ma,Thus says <gap>: Speak to the judge:
984,um-ma Pú-zur4-A-šur-ma a-na um-mì-a ú a-hu-a qí-bi-ma,Thus says Puzur-Ashur: Speak to my mother and my brother:
985,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma a-bi-a ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and my father will take the deduction-taxes."
986,a-na a-hu-a qí-bi-ma um-ma ru-ba-im-ma,Speak to my brother: thus says the king.
987,a-šu-um URUDU dam-qám ša a-hu-a a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that my brother sent to Wahshushana, I have heard about it here."
988,um-ma DAM.GÀR-ma a-na a-bi-a qí-bi-ma,Thus says the merchant: Speak to my father:
989,um-ma a-ha-tí-kà-ma a-na DAM.GÀR ú wa-ar-di-ni qí-bi-ma,Thus says your sister: Speak to the merchant and our slave:
990,šu-ma ši-ip-ri-ni URUDU dam-qám lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If our messenger does not send the fine copper to me, I will write to Kanesh."
991,iš-tù <gap> a-na ha-hi-im a-li-ik-ma ṭup-pám ba-qí-ir,Go from <gap> to Hahhum and claim the tablet.
992,a-šu-um KÙ.GI ša a-bi-a a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that my father sent to Kanesh, I have heard about it here."
993,um-ma kà-ru-um wa-ah-šu-ša-na-ma a-na DAM.GÀR qí-bi-ma,Thus says the Wahshushana colony: Speak to the merchant:
994,1 me-at ŠE i-na É.GAL-lim a-na wa-ar-di-ni áš-qúl,I paid 100 units of grain to our slave in the palace.
995,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and the king will take the deduction-taxes."
996,iš-tù É.GAL-lim a-na ha-hi-im a-li-ik-ma kà-ni-kám ba-qí-ir,Go from the palace to Hahhum and claim the sealed document.
997,ki-ma a-hu-a me-tù-ni um-mì-a AN.NA i-ki-mu-ni,"When my brother died, my mother deprived me of the tin."
998,2 bi-lá-tim URUDU dam-qám i-na É.GAL-lim a-na ru-ba-im áš-qúl,I paid 2 talents of fine copper to the king in the palace.
999,1 ma-na KÙ.GI i-na kà-ni-iš a-na <gap> áš-qúl,I paid 1 mina of gold to <gap> in Kanesh.
