oa,english
"tup-pu-um ša ½ ma-na 5 GÍN KÙ.B. ša hu-bu-ul En-na-Sú-in ša e-li-a-ni sà-ar","The tablet of 25 shekels of silver, recording the debt of Ennam-Suen, which turns up is invalid."
"šu-ma me-er-ú DINGIR-kur-ub a-na En-na-[Sú-in] i-tù-ru-ú Ha-na-na ú-ba-áb-šu","If the sons of Ilam-kurub raise a claim against Ennam-Suen, Hanana will clear him."
"KÙ.B. ša IGI En-na-nim ù DUMU [x] i-dí-nu-šu-ni","It is silver that they gave him in the presence of Ennānum and of the son of <gap>"
"KIŠIB Pi-la-ah-Ištar DUMU I-bi4-sú-a KIŠIB Šu-ma-li-bi4-A-šur DUMU Ku-ús-ku-sí-im","Seal of Pilah-Ištar, son of Ibisua, seal of Šumma-libbi-Aššur, son of Kuskusum,"
"KIŠIB En-na-Sú-in DUMU A-mur-UTU KIŠIB A-al-DÙG DUMU A-mur-UTU","seal of Ennam-Suen, son of Amur-Šamaš, seal of Āl-ṭāb, son of Amur-Šamaš,"
"ša hu-bu-ul En-na-Sú-in ù A-al-DÙG me-er-e A-mur-UTU 3½ ma-na 5 GÍN KÙ.B. ṣa-ru-pu-um","to the effect that the debt of Ennam-Suen and Āl-ṭāb, sons of Amur-Šamaš, is 3½ minas 5 shekels of refined silver."
"iš-tù ha-mu-uš-tīm ša A-šùr-i-mi-tí ù A-mur-Ištar a-na 1 ma-na-im 2 GÍN.TA i-na ITU.KAM ṣí-ib-tám","From the week of Aššur-imittī and Amur-Ištar they will add per 1 mina 2 shekels per month as interest."
"ú-ṣú-bu KÙ.B. i-na qá-qá-ad šál-mì-šu-nu ra-ki-is","For the silver they are jointly liable."
"ITU.KAM ša sà-ra-tím li-mu-um ša <i>-qá-té Sú-kà-li-a il-qé-ú","Month II, eponymy of the one who took over from Sukkalliya."
"KIŠIB A-šur-be-el-a-wa-tim KIŠIB Zu-ba KIŠIB I-dí-Ištar DUMU A-šur-ma-lik","Seal of Aššur-bēl-awātim, seal of Zuba, seal of Iddin-Ištar, son of Aššur-mālik,"
"KIŠIB En-num-A-šur DUMU A-šur-UTU KIŠIB Abu-ša-lim DUMU A-šur-be-el-a-wa-tim","seal of Ennam-Aššur, son of Aššur-šamšī, seal of Abu-šalim, son of Aššur-bēl-awātim."
"1/3 ma-na 8 GÍN KÙ.B. ṣa-ru-pá-am i-šé-er A-bu-ša-lim DUMU A-šur-be-el-a-wa-tim","28 shekels of refined silver Abu-šalim, son of Aššur-bēl-awātim,"
"En-na-Sú-in i-šu","owes to Ennam-Suen."
"iš-tù ha-mu-uš-tim ša kà-ší-im ša qá-té A-šur-ma-lik ú En-na-Sú-in ITU.KAM ma-hu-ur-í-lí","From the week of the official who took over from Aššur-mālik, and Ennam-Suen, month IV,"
"li-mu-um ša qá-té A-šur-na-da DUMU Puzur-A-na 8 GÍN KÙ.B. a-na 3 ha-am-ša-tim i-ša-qal","eponymy of the successor of Aššur-nādā, son of Puzur-Anna, he will pay 8 shekels within 3 weeks,"
"10 GÍN KÙ.B. a-na 6 ha-am-ša-tim i-ša-qal","10 shekels within 6 weeks he will pay,"
"10 GÍN wa-ar-kà-tám a-na 10 ha-am-ša-tim i-ša-qal","and 10 shekels he will pay later, within another 10 weeks."
"šu-ma i-na u4-me-šu ma-al-ú-tim lá iš-qú-ul ki-ma a-wa-at kà-ri-im [ì]-ITU.KA[M] ṣí-ib-tám ú-ṣa-áb","If he does not pay when his term is over he will add interest per month in accordance with the regulation of the colony."
"KÙ.BABBAR ik-ri-bu ša A-šur","The silver is temple fund of Aššur."
"KIŠIB A-šur-DÙG [DUMU A]-hu-wa-qar KIŠIB Šu-A-nim DUMU A-ki-a-nim","Seal of Aššur-ṭāb, son of Ahu-waqar, seal of Šu-Anim, son of Akiānum,"
"KIŠIB A-šur-du-gul DUMU Im-da-hi KIŠIB A-šur-[DÙG] DUMU I-[d]i-ba-ni","seal of Aššur-dugul, son of Imdī-ahī, seal of Aššur-ṭāb, son of Idi-bāni,"
"12 [GÍN] KÙ.B. i-[šé-er] A-šur-DÙG DUMU I-di-ba-ni En-na-Sú-in i-šu","Ennam-Suen has a claim of 12 shekels of silver on Aššur-ṭāb, son of Idi-bāni;"
"ITU.KAM Na-ar-ma-ak-A-šur li-mu-um E-lá-li DUMU I-ku-nim","month II/III, eponymy of Elalī, son of Ikūnum."
"ṣí-ib-tám ki-ma a-wa-at kà-ri-im Kà-né-eš ú-ṣa-áb","He will add interest according to the regulation of the Kanesh colony."
"15 GÍN KÙ.B. ṣa-ru-pá-am i-šé-er Ma-lá-ba En-na-Sú-in i-šu","15 shekels of refined silver Malaba owes to Ennam-Suen."
"iš-tù ITU.KAM Hu-bu-ur li-mu-um Šu-da-a DUMU En-na-nim a-na 3 ha-am-ša-tim i-ša-qál","From month VI, eponymy of Šudaya, son of Ennānum he will pay within 3 weeks."
"šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb","If he does not pay he will add interest according to the regulation of the colony."
"šu-ma DUMU A-šur-DÙG a-na Ma-lá-ba i-tù-ru En-na-Sú-in ú-ba-áb-šu","If the sons of Aššur-ṭāb raise a claim against Malaba Ennam-Suen will clear him."
"IGI Puzur4-A-šur IGI A-šur-du-gul","Before Puzur-Aššur, before Aššur-dugul."
"2 2/3 ma-na 4 GÍN KÙ.B. ṣa-ru-pá-am i-šé-er Ša-lim-A-hi-im ù Šu-Sú-in En-na-Sú-in i-šu","A debt of 2 minas 44 shekels of refined silver Šalim-ahum and Šu-Suen owe to Ennam-Suen."
"iš-tù SAG ITU.KAM ša ki-na-tím li-mu-um ša qá-té Ì-lí-dan a-na ITU.KAM i-ša-qú-lu","From the beginning of month III, eponymy of the successor of Ilī-dān, they will pay in a month."
"šu-ma lá iš-qú-lu 1 1/2 GÍN.TA: a-na 1 ma-na-im i-na ITU.KAM ṣí-ib-tám ú-ṣú-bu","If they fail to pay they will add 1 1/2 shekel per mina per month as interest."
"IGI Ištar-DINGIR-šu DUMU A-šur-ba-ni IGI A-da DUMU E-na-A-šur","In the presence of Ištar-ilšu, son of Aššur-bāni, of Ada, son of Ennam-Aššur."
"11 ma-na KÙ.B. ša qá-ta-at A-al-DÙG A-šur-UTU ú En-na-Su-en il5-ta-áp-tù","As for the 11 minas of silver for which Aššur-šamšī and Ennam-Suen had themselves registered as guarantors of Āl-ṭāb,"
"šu-ma KÙ.B. i-na ṣé-er A-šur-UTU ú En-na-Sú-in i-ta-al-qé","should the silver be collected at the expense of Aššur-šamšī, and Ennam-Suen,"
"É ša a-lim ša A-al-DÙG e-ru-ba-at KÙ.B.","then Āl-ṭāb's house in the City is a pledge for the silver."
"IGI Zu-ba IGI Puzur4-A-na IGI Na-áb-Sú-in","In the presence of Zuba, of Puzur-Anna, of Nabi-Suen."
"KIŠIB Zu-ba DUMU En-na-nim KIŠIB Puzur4-A-na DUMU A-šur-dan","Seal of Zuba, son of Ennānum, seal of Puzur-Anna, son of Aššur-dān,"
"KIŠIB Na-áb-Sú-in DUMU Puzur4-We-er KIŠIB A-al-DÙG","seal of Nabi-Suen, son of Puzur-Wēr, seal of Āl-ṭāb,"
"ša 11 ma-na KÙ.B. qá-ta-at A-al-DÙG A-šur-UTU ú En-na-Sú-in il5-ta-ap-tù-ni","to the effect that for 11 minas of silver Aššur-šamšī and Ennam-Suen had themselves registered as guarantors of Āl-ṭāb."
"šu-ma KÙ i-na ṣé-er A-šur-UTU ú En-na-Sú-in i-ta-al-qé É ša a-lim ša A-al-DÙG e-ru-ba-at KÙ","If the silver is collected at the expense of Aššur-šamšī and Ennam-Suen Āl-ṭāb's house in the City serves a security for the silver."
"12 GÍN KÙ.B. ša A-al-DÙG a-na Kur-ub-Sú-in ha-bu-lu-ma En-na-Sú-in qá-ta-tù-ni","12 shekels of silver, which Āl-ṭāb owes to Kurub-Suen and (for which) Ennam-Suen was guarantor,"
"KÙ.B. ki-ma Kur-ub-Sú-in Pilah-Ištar il5-qé En-na-Sú-in ki-ma A-al-DÙG KÙ.B. iš-qú-ul-šum","Pilah-Ištar collected that silver in the name of Kurub-Suen, Ennam-Suen paid it to him in the name of Āl-ṭāb."
"šu-ma Kur-ub-Sú-in a-na A-al-DÙG i-tù-wa-ar Pi-lá-ah-Ištar ú-ba-áb-šu","If Kurub-Suen raises a claim (for it) for against Āl-ṭāb, Pilah-Ištar will clear him."
"KÙ.B. i-na li-mì-im Šu-da-a ITU.KAM Ku-zal-li il5-qé","He collected the silver during the eponymy of Šudaya, in month XI."
"IGI IŠKUR-ELLAT IGI Ir-am-A-šur DUMU Ì-dí-ba-ni","Witnessed by Adad-ellat, by Ir'am-Aššur, son of Idi-bāni."
"KIŠIB A-dé-lá-at KIŠ[IB Ir-am]-A-šur DUMU I-dí-ba-ni KIŠIB Pi-lá-ah-Ištar DUMU I-bi4-sú-a","Seal of Adad-ellat, seal of Ir'am-Aššur, son of Idi-bāni, seal of Pilah-Ištar, son of Ibisua,"
"ša 12 GÍN KÙ.B. A-al-DÙG a-na Kur-ub-Sú-in ha-bu-lu-ma En-na-Sú-in qá-ta-tù-n[i]","to the effect that Āl-ṭāb owes 12 shekels of silver to Kurub-Suen and Ennam-Suen is guarantor"
"[12] GÍN KÙ.B. ki-ma","The 12 shekels of silver instead of <gap>"
"Šu-Ištar ù En-na-Sú-in iṣ-bu-tù-ni-a-tí-ma um-ma En-na-Sú-in-ma","Šu-Ištar and Ennam-Suen seized us and Ennam-Suen said:"
"KÙ ša qá-ta-at A-al-DÙG a-šu-mì Ki-li-ri-e ni-il5-tap-tù KÙ šu-qú-ul","The silver for which we had ourselves registered as guarantors of Al-ṭāb concerning the Kilirians, pay that silver."
"um-ma Šu-Ištar-ma a-na 6 ITU.KAM ki-ma a-wa-at a-li-a: a-lá-kam-ma a-wa-tám a-dá-na-kum","Šu-Ištar answered: Within 6 months, in accordance with the ruling of my city, I will come and render account to you."
"um-ma En-na-Sú-[in]-ma šu-ma a-na 6 ITU.KAM a-na Ta-wi-ni-a lá [ta]-lá-kam-ma a-wa-tám lá ta-dí-nam","Ennam-Suen said: If you do not come to Tawiniya within 6 months and do not render account to me,"
"ba-lum di-nim ba-lúm ma-mì-tim KÙ ú ṣí-ba-tí-šu lá ta-dá-nam","will you then not give me the silver and its interest without resorting to legal action or oath?"
"um-ma Šu-Ištar-ma lá-dí-na-kum","Šu-Ištar answered: I will give it you."
"a-na a-wa-tim a-ni-a-tim kà-ru-um Ta-wi-ni-a i-di-ni-a-tí-ma IGI GÍR ša A-šur ṭup-pá-am a-ni-am ni-dí-in","For these words the Tawiniya colony made us appear in court and before Aššur's dagger we gave this tablet."
"IGI Ištar-ba-ni IGI Ší-ma-ta-nim IGI Zu-NI-a Ma-num-ba-lúm-A-šur DUMU Du-ni-a ra-bu-ni","Witnessed by Ištar-bāni, by Šimatānum, by Zulniya; Mannum-balum-Aššur, son of Dunniya, was our fourth man."
"a-na A-šur-UTU ù En-na-Sú-in qi-bi4-ma um-ma A-al-DÙG-ma","Say to Aššur-šamšī and Ennam-Suen, thus Āl-ṭāb."
"a-na A-šur-UTU qi-bi4-ma mi-šu ša ta-áš-pu-ra-ni-ni um-ma a-tù-nu-ma al-kam ṣí-tám ni-ša-kà-an","Say in particular to Aššur-šamšī: Why are you writing me as follows: Come here, we must submit the expenditures?"
"tám-kà-ru-um i-na re-ší-a i-za-az KÙ.B. 1 ma-na a-ša-qá-al","The creditor keeps a check on me (because) I have to pay 1 mina of silver!"
"ke-e lá-li-kà-am ú-lá 10 GÍN KÙ.B. i-na qá-tí-a i-ba-ší","How could I come while I do not even have 10 shekels of silver available?"
"a-hu-a a-tù-nu a-dí ITU.1.KAM qá-i-a-ni","Please, my brothers, wait one month more for me."
"šu-ma e-mu-qá-tám e-pá-áš-ku-nu-ma ma a-kà-ri-im i-lá-ak-ma kà-ru-um i-da-ku-nu ù a-na-ku qá-dí-ku-nu-ma","If he treats you in a violent way, yea even turns to the colony and the colony makes you appear in court, then I am with you in it!"
"a-bi4 a-ta šé-ṭù-ta-kà a-na-ku a-lá-qé a-lá-nu-kà-a","My dear father, could I hold you in contempt?"
"a-ba-am ša-ni-am","Do we have any father but you?"
"ni-šu a-na Tù-ùh-pi-a e-tí-iq-ma KÙ.B. 10 GÍN ù 1/3 ma-na ma-lá ga-am-ri-a: a-lá-qé-a-ma","I will travel on to Tuhpiya and try to get some silver, 10 or 20 shekels, as much as I need for my expenses,"
"ù a-ta-bi4-a-ma a-ta-lá-kam","then I will get moving and depart for you."
"a-bi4 a-ta DÍ-RI-ú","You, my father, <gap>!"
"A-šur-UTU ù En-na-Sú-in iṣ-bu-tù-ni-a-tí-ma um-ma En-na-Sú-in-ma a-na A-šur-UTU-ma","Aššur-šamšī and Ennam-Suen seized us and Ennam-Suen said to Aššur-šamšī:"
"KÙ.B. ki-iš-da-a dí-nam","Give me the silver that accrues to me."
"um-ma A-šur-UTU-ma KÙ.B. ú-lá a-da-na-kum a-na li-ta-tim ak-ru-ub-kà","Aššur-šamšī answered: I will/can not give you the silver, for I have <gap> you <gap> for <gap>."
"um-ma En-na-Sú-in-<ma> mi-šu-um a-ta i-a-tí ta-kà-ra-ba-ni","Ennam-Suen said: Why is it me that you are <gap> me?"
"me-er-i-kà ku-ru-ub","Do it to your sons!"
"um-ma A-šur-UTU-ma a-na ga-am-ri-kà a-na-ku a-za-za-kum","Aššur-šamšī answered: I will personally take your expenses for my account."
"IGI Zu-ba IGI Puzur4-IŠKUR A-lá-bu-um DUMU Zi-a tap-pá-i-ni","In the presence of Zuba (and) of Puzur-Adad; Ali-abum, son of Zia was our colleague."
"a-na a-wa-tim a-ni-a-tim kà-rum Kà-ni-eš i-di-ni-a-tí-ma ṭup-pá-am IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in","For these words the Kanesh colony made us available and this tablet (with) our testimony we presented before Aššur's dagger."
"KIŠIB Zu-ba DUMU En-na-nim KIŠIB Puzur4-IŠKUR DUMU I-dí-Ištar","Seal of Zuba, son of Ennānum, seal of Puzur-Adad, son of Iddin-Ištar;"
"A-lá-bu-um DUMU Zi-a tap-pá-i-ni","Ali-abum, son of Ziya, was our companion."
"a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-né-eš i-di-ni-a-tí-ma ṭup-pá-am IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in","For these words the Kaneš colony made us available and this tablet we gave as our testimony rendered before Aššur's dagger."
"a-na ṣé-er A-šur-UTU i-na ba-[áb] ha-ra-ni-šu né-ru-ub-ma um-ma En-na-Sú-[in] a-na A-šur-UTU-[ma]","We entered with Aššur-šamšī when he was about to go on a journey and Ennam-Suen said to Aššur-šamšī:"
"a-pu-na lá-ma kà-sà-am ni-iš-tí-ú: a-wa-tí-im lá-ta-wu-kum li-ba-tim lá ta-ma-lá","Please, before we drink from the cup I want to declare something to you, do not get angry!"
"i-nu-mì i-n[a] Wa-áš-ha-ni-a ú-kà-i-lu-ni-n[i] 2 ma-na KÙ.B. a-ha-ti tù-šé-bi-lá-kà","When they detained me in Wašhaniya did my sister send you to me with 2 minas of silver?"
"um-ma A-šur-[UTU] ke-na tù-šé-bi-lá-ni-ma ú-lá a-dí-na-kum","Aššur-šamšī answered: Sure, she sent me, but I did not give it to you."
"um-ma En-na-Sú-i[n]-ma u4-ma-am a-ha-tí ta-tù-ra-am um-ma ší-it-ma ta-al-tám-nam","Ennam-Suen then said: Today my sister has come back here and she said: You have done me wrong!"
"KÙ.B. ù ṣí-ba-tí-šu ša iš-tù 8 ša-na-tim šé-ṣí-ma dí-nam","Produce the silver and its interest due since eight years and give it to me!"
"um-ma A-šur-UTU-ma e-ni-ma-ma a-na šé-ep A-šur-i-mi-tí am-qú-ut: a-hu-ú-a: a-tù-nu","Aššur-šamšī answered: Just now I have humbly begged Aššur-imittī, saying: Please, my brothers,"
"a-ma GUŠKIN 15 GÍN ù 1 ma-na sà-am-tum ma-lá ta-le-a-ni É.GAL-lam ṭá-i-ba","here are gold, 15 shekels, and 1 mina of carnelian, appease the palace as well as you can."
"um-ma A-šur-UTU-ma a-n[a] En-na-Sú-in-ma šu-ma KÙ.B. a-na ma-dí-im i-tù-ar al-kam-ma","Aššur-šamšī also said to Ennam-Suen: If the silver (due) has increased much then come here,"
"ší-b[é]-kà la-aṣ-ba-a[t]-ma ma-e-pá-ší-im ep-ša-ni","let me seize your witnesses and do with me what you think best!"
"um-ma En-na-in-ma a-na A-šur-UTU-ma É.GAL KÙ.B. ma-dam i-ṣé-ri-a <i-šu>","Ennam-Suen answered Aššur-šamšī as follows: The palace <has> a substantial silver claim on me <gap>."
"um-ma A-šur-i-mi-tí ù A-ku5-a-ma a-na DINGIR-ba-ni ù Sú-in-DINGIR-šu qi-bi-ma","Thus Aššur-imittī and Akūa, say to Ilī-bāni and Suen-ilšu:"
"ta-ah-si-is-tam ša a-wa-at En-na-Sú-in ù A-šur-UTU ni-ig-mu-ru a-ma-kam","Look for the document (recording) that we settled the affair of Ennam-Suen and Aššur-šamšī,"
"lu i-na qá-tí a-wil-il5-tim lu i-na ṭup-pé-e ša ku-nu-ki-ni am-ra-ma ma-la a-wa-tù-šu ga-am-ra-ni dí-na-šu-ma li-il5-ma-sí","either among what the lady has with her or among the tablets under our seals and give him the record declaring that his whole affair has been settled, so that he can take cognizance of it."
"lá-šu-a-at a-wa-tí-šu né-nu: nu-kà-a-al ù a-tù-nu a-ma-kam ma-lá tù-kà-lá-ni","If it is not there, we remember his words and you there must write down everything you remember,"
"lá-pi-ta-ni-ma a-wa-at-ni a-na iš-té-et li-tur4-ma a-na-kam a-wa-sú lu ni-iq-bi4-šum","so that our statement becomes one and the same and we can tell him here (the outcome of) his affair."
"A-na-ah-i-lí ha-mu-uš-ni","Ānah-ilī was our fifth man."
"a-na DINGIR-ba-ni qi-bi4-ma ša 3 ma-na KÙ.B. ú-mu-kà e-ta-at-qú-ú ù KÙ.B. x-na-x at: im-tí-ṣí-x","Say to Ilī-bāni: Your term for the 3 minas of silver has passed and the silver <gap>"
"ma-lá K[Ù.B. qá]-at-kà i-kà-[šu-d]u a-na En-na-Sú-in di-in-ma lu-ub-lam","Give all the silver you manage to acquire to Ennam-Suen to bring it here."
"ki-a-a-ma: wa-áš-ba-ku","It is for that reason that I am staying!"
"5 GÍN KÙ ig-ri-šu dí-in","Give him 5 shekels of silver as wages."
"um-ma A-šur-i-mi-tí-ma a-na En-nam-A-šur qi-bi4-ma","Thus Aššur-imittī, say to Ennam-Aššur:"
"5 né-nu a-wa-tí-ku-nu ni-ig-mu-ur-ma 24 TÚG.HI.A ma-ah-ri-ni i-ší-ik-nu","The five of us settled your affair and 24 textiles were submitted to us."
"6 TÚG.HI.A Kà-zi-a ta-al-qé 18 TÚG.HI.A ší-tám En-na-Su-in ú-ba-li-iṭ-ma","6 textiles Kaziya took, the remaining 18 textiles Ennam-Suen has made available as asset,"
"lu ša li-tí-šu lu ša ma-ku-ur ša-bu-a-tí-ni a-na ša-al-ša-tí-ku-nu a-ta-wa","so that you are satisfied both with his <gap> and with what is <gap> About your one-third share you must negotiate."
"a-ma-kam ma-ma-an lá ú-ša-ha-az-kà-ma iš-tí a-hi-kà lá ta-ṣa-al iš-tí a-hi-kà lu ṭá-ba-tí","Over there nobody must instigate you to quarrel with your brother(s); be on good terms with your brother(s)!"
"a-na As-q[ú-dim] ù A-bi4-lá qi-bi-ma [um-ma I]-dí-Sú-in-ma","Say to Asqudum and Abila thus Iddin-Suen:"
"i-na UR[UDU A]-šur-i-dí URUDU SIG5 [a]-na En-na-Sú-in di-[in]","Give from Aššur-idī's copper 1 talent of refined copper to Ennam-Suen."
"a-hu-a a-tù-nu ih-da-ma URUDU A-šur-i-dí ša-áš-qi-lá: ù na-pá-al-tù-šu šu-up-ra-nim","Please, my brothers, take care to make Aššur-idī pay the copper and write me also his reaction."
"ù 5 GÚ URUDU ša Šu-Ištar li-iš-qú-ul ba-lu-um té-er-tí-a KI a-wí-lim i-mi-gi5-ir","He must also pay 5 talents of copper of Šu-Ištar. He has come to an agreement with the man without an instruction of mine."
"i-ša-ha-at En-na-Sú-in i-zi-za-ma a-na kà-ú-l[i-šu] ù ša-ku-*[li]-šu","Assist Ennam-Suen and be ready to support him and to provide him"
"ma-h[a- x]","with food."
"a-hu-a-tù-nu ú-ṭù-tám lu tù-pá-qí-dá nu-dí-ma a-lá-nu-ma lá tù-pá-ra-dá-šu","Please, my brothers, you must provide (her?) with barley <gap>, and from there(?) you must not scare her."
"šú-ba-sà-a ù ší-it-ar-ša-a eṭ-ra-šu","Deprive her of her garment and her head-dress."
"a-na DUMU A-šur ù a-na DUMU Kà-né-eš lá ta-dá-na-šu a-na Ta-al-ha-tim dí-na-šu","You must not sell her to an Assyrian or to a citizen of Kanesh. Sell her to a man from Talhat"
"ú a-ša-ar ta-dá-na-ni um-ma a-tù-nu-ma a-na ma-at Kà-né-eš a-wí-il5-tám lá tù-ta-ra-nim","and where you sell (her) you must say: Do not bring the woman back to the land of Kanesh!"
"um-ma Šu-Ištar-ma a-na En-na-Sú-in qi-bi-ma","Thus Šu-Ištar, say to Ennam-Suen:"
"mi-šu ša ta-áš-pu-ra-ma um-ma a-ta-ma 1/2 ma-na KÙ.B. hu-bu-lá-am a-ma-at-kà té-pu-uš","Why have you written me as follows: Your maid has contracted a debt of 1/2 mina of silver."
"a-šé-er ra-ga-at-ni ù hu-bu-lá-am a-na na-q-ki-ša-a té-pá-áš","She is not only wicked, but is also contracting a debt for her <gap>"
"10 ma-na 10 GÍN KÙ.B. šé-bu-lá-tim uš-té-bi4-lá-ší-im","I have sent her consignments of silver amounting to 10 minas and 10 shekels!"
"a-ma-kam: a-ta ù-la ta-na-ṭá-al a-ma i-a-tí-i ta-[ṭ]á-ba-am","Over there, you are not even looking! Is it really to me that you are being nice?"
"a-[a]m-tám ha-li-iq a-na Ta-al-ha-tim di-i-ší a-na DUMU A-šur lá ta-dá-[ší]","Get rid of the maid, sell her to a man from Talhat, do not sell her to an Assyrian!"
"a-na Ku-ku-a En-na-Sú-in ù Ú-ṣú-<ur>-ša-A-šur qi-bi-ma um-ma Šu-Ištar-ma","Say to Kukua, Ennam-Suen and Uṣur-ša-Aššur, thus Šu-Ištar:"
"a-ma-kam a-am-tám sà-ni-qá-ma i-na Ú-zi-ni-im e té-pu-uš-ma nu-a-am e ta-al-pu-ut a-ni-ša-am","Keep the maid there under control and let her not operate in Uzinum and not affect the native Anatolian."
"ta-áš-pu-ra-am um-ma ší-it-ma šu-up-ra-ma ší-me-a ma-ma-an li-il5-qé","She wrote me here as follows: Send (somebody) to collect the price due to me."
"a-hu-a-tù-nu a-ma-kam am-tám sà-ni-qá-ma ú sí-li-a-ší-ma","May dear colleagues, keep the maid there under control and cheat her"
"um-ma a-tù-nu-ma a-na ṣé-er be-li-ki-i i-ra-de5-ú-ki lu sà-he-er-tí-ki lu KÙ.B. 1 GÍN tí-šu-i pá-hi-ri-ma","by telling her: One will conduct you to your lord. Collect your small goods and any silver you have"
"KI a-li-ki-im pá-ni-ma a-na ṣé-er be-li-ki ta-li-ki a-na-ma tù-pá-hu-ru-ni","and then you will go to your lord with the first caravan! And as soon as she is gathering her belongings"
"ṣú-ba-sà-a ù ša qá-qí-dí-ša-a eṭ-ra-ma a-na Ta-al-ha-tí-i-im di-na-ší a-na DUMU A-šur ù DUMU Kà-né-eš lá ta-dá-ší","deprive her of her garment and her head-dress and sell her to somebody from Talhat. Do not sell her to an Assyrian or to a citizen of Kanesh."
"ha-li-qá-áš ù ma-at Kà-ne-eš lá i-na-mar","Get rid of her and she shall never (again) be seen in the land of Kanesh!"
"a-na A-šur-na-da Sú-in-il5-šu ù En-na-Su-in qi-bi-ma um-ma MAŠ LUGAL-ki-in-ma","To Aššur-nādā, Suen-ilšu, and Ennam-Suen, thus <gap> Šarrum-kēn:"
"i-na Wa-áš-ha-ni-a ni-na-me-er-ma um-ma a-ta-ma TÚG.HI.A É.GAL-lúm ú-la it-ba-al a-ta-ma ta-at-ba-al-šu-nu","When we met in Wašhaniya you said: It was not the palace that took the textiles away, it was you who took them away!"
"i-nu-mì ú-šé-ṣí-ú-ni a-na-ku lá-šu-<a>-ku: qá-tí É.GAL-lim-ma: 4 DUMU um-mi-a-nim iṣ-ba-at-ma È-tí","When it removed them I was not present, the palace itself seized four affiliated traders and they searched"
"ú-na-dí-du-ma TÚG.HI-tí-kà ú-šé-ṣí-ú ṭup-pá-am a-ší-a-tí a-dí(TI)-a-kum","my house and removed your textiles. Therefore I drew up a tablet for you"
"ú ší-bé-a az-ku-ra-kum ší-bé-a a-na ba-áb DINGIR ú-šé-ra-da-ma","and I named you my witnesses. I am ready to lead my witnesses down to the Gate of the god so that"
